site_id,request_date,cart_include_requests,cart_include_response_ms,cart_include_avg_response_ms
102,2018-10-28,384,44990,117.16145833333333
102,2018-12-28,390,18975,48.65384615384615
102,2019-01-11,2955,538,0.18206429780033842
102,2019-01-13,351,62,0.17663817663817663
103,2018-10-16,2,55,27.5
103,2018-11-21,19602,6452,0.3291500867258443
103,2019-01-11,854,9629,11.275175644028103
106,2018-10-16,180,395879,2199.3277777777776
106,2018-11-30,14946,63418,4.243141977786699
106,2018-12-28,2656,1293,0.4868222891566265
106,2019-01-11,5453,10051,1.843205574912892
106,2019-01-27,4454,267676,60.09788953749439
109,2018-10-16,386,247053,640.0336787564767
109,2018-10-20,1806,2075,1.1489479512735328
109,2018-10-28,1438,1747,1.2148817802503478
109,2018-10-30,15150,165216,10.905346534653466
109,2018-12-28,13655,659306,48.283119736360305
109,2019-01-15,5213,205988,39.5142911950892
111,2018-10-16,195,35374,181.4051282051282
111,2018-10-30,3839,53451,13.923157072154206
111,2018-11-21,8,352,44.0
111,2019-01-11,6218,62563,10.061595368285623
111,2019-01-13,3,736,245.33333333333334
111,2019-01-15,5404,39158,7.246113989637306
112,2018-10-16,142,634,4.464788732394366
112,2018-10-22,1874,744,0.39701173959445035
112,2018-10-28,2338,964,0.41231822070145424
112,2018-11-30,11658,64322,5.517412935323383
112,2019-01-11,5323,97448,18.306969753898176
112,2019-01-17,3630,36382,10.02258953168044
112,2019-01-27,81013,16299,0.20118993247997236
112,2019-04-02,2231,887,0.39757956073509637
113,2018-10-21,3800,671,0.17657894736842106
113,2018-10-22,446,5147,11.540358744394618
113,2018-10-30,11,1834,166.72727272727272
113,2019-01-13,28083,5579,0.19866111170458997
113,2019-01-24,1617,191,0.11811997526283241
114,2018-10-16,170,2505,14.735294117647058
114,2018-10-30,5,386,77.2
114,2019-01-15,538,6451,11.990706319702602
114,2019-01-17,510,97,0.19019607843137254
114,2019-01-27,816,209522,256.7671568627451
115,2018-10-16,133,6215,46.72932330827068
115,2018-10-20,467,52,0.11134903640256959
115,2018-10-30,152,1445,9.506578947368421
115,2018-12-28,2136,41027,19.207397003745317
116,2018-10-16,269,43688,162.4089219330855
116,2018-10-22,779,22633,29.053915275994864
116,2018-10-28,48559,11750,0.24197368150085463
116,2018-11-21,3465,7122,2.0554112554112556
116,2018-11-30,885,12021,13.583050847457628
116,2018-12-28,3995,32643,8.170963704630788
116,2019-01-13,616,127,0.20616883116883117
116,2019-01-18,617,139,0.2252836304700162
117,2018-10-30,1568,2024,1.2908163265306123
117,2018-11-30,2809,61564,21.916696333214666
117,2019-01-17,303,2289,7.554455445544554
117,2019-01-19,263,2485,9.448669201520913
117,2019-01-21,48,1021,21.270833333333332
117,2019-01-24,13,801,61.61538461538461
117,2019-01-27,446,8135,18.239910313901344
120,2018-10-16,30,512,17.066666666666666
120,2018-10-20,5,85,17.0
121,2018-10-22,2899,64012,22.080717488789237
121,2018-10-28,1434,18041,12.580892608089261
121,2018-10-30,683,128,0.18740849194729137
301,2019-01-19,3,53,17.666666666666668
302,2018-10-16,198,296093,1495.419191919192
302,2018-10-21,5119,85052,16.61496386012893
302,2018-10-30,5319,571033,107.35721000188005
302,2018-11-30,15164,478881,31.58012397784226
302,2019-01-24,161,45,0.2795031055900621
302,2019-01-27,210,35,0.16666666666666666
303,2018-10-30,2817,24790,8.800141995030174
303,2018-11-21,16053,231535,14.423160779916527
303,2019-01-11,1756,27613,15.724943052391799
303,2019-01-15,783,8512,10.871008939974457
304,2018-10-16,369,32115,87.03252032520325
304,2018-11-21,6,1014,169.0
304,2019-01-06,560,11725,20.9375
304,2019-01-17,517,21576,41.7330754352031
304,2019-01-18,996,134,0.13453815261044177
305,2018-10-28,11904,7485,0.6287802419354839
305,2018-11-21,80,30,0.375
305,2019-01-11,43,1057,24.58139534883721
305,2019-01-17,648,118,0.18209876543209877
308,2018-10-16,131,548,4.183206106870229
308,2018-10-21,376,4090,10.877659574468085
308,2018-11-21,849,275,0.32391048292108365
308,2018-11-30,2,282,141.0
308,2019-01-11,478,12676,26.518828451882847
308,2019-01-13,18,239,13.277777777777779
308,2019-01-17,508,602,1.18503937007874
309,2018-10-16,267,52619,197.0749063670412
309,2018-10-22,181,6396,35.33701657458563
309,2018-11-21,3385,38001,11.226292466765141
309,2018-11-30,3,29,9.666666666666666
309,2019-01-11,1838,748,0.40696409140369966
309,2019-01-15,33173,6595,0.19880625810146807
501,2018-10-22,20,436,21.8
601,2018-10-16,114,4111,36.06140350877193
601,2018-10-30,321,31292,97.48286604361371
601,2018-11-30,2018,36961,18.31565906838454
601,2019-01-13,100,207,2.07
601,2019-01-15,7033,6496,0.9236456704109199
601,2019-01-17,455,302,0.6637362637362637
601,2019-01-18,277,4641,16.75451263537906
601,2019-01-24,2,103,51.5
601,2019-01-27,9945,1412,0.1419808949220714
801,2018-10-16,9,2777,308.55555555555554
801,2018-10-20,6,150,25.0
801,2018-10-21,8,0,0.0
801,2018-10-22,460,2722,5.917391304347826
801,2018-10-28,350,91047,260.13428571428574
801,2018-10-30,17109,20963,1.225261558244199
801,2018-11-21,9522,3619,0.3800672127704264
801,2018-11-30,204,8336,40.86274509803921
801,2019-01-27,348,2227,6.399425287356322
901,2018-10-21,4,38,9.5
901,2018-10-22,346,46,0.1329479768786127
901,2018-10-28,2310,31921,13.818614718614718
901,2018-10-30,1115,8567,7.683408071748879
901,2018-11-30,1884,295,0.15658174097664543
901,2018-12-28,371,492,1.326145552560647
901,2019-01-06,7707,1913,0.24821590761645257
902,2018-10-28,5710,124585,21.818739054290717
902,2018-10-30,5162,64910,12.574583494769469
902,2018-11-30,3,395,131.66666666666666
902,2019-01-06,77885,15675,0.20125826539128203
903,2018-10-16,57,102,1.7894736842105263
903,2018-10-21,1417,12639,8.91954834156669
903,2018-10-22,1190,145812,122.53109243697479
903,2018-12-28,8892,48622,5.468061178587495
903,2019-01-21,2852,52172,18.29312762973352
904,2018-10-30,1662,544776,327.78339350180505
904,2018-11-30,21181,460841,21.757282470138332
904,2018-12-28,20065,5573,0.27774732120608026
904,2019-01-06,103439,15449,0.14935372538404276
904,2019-01-13,975,40437,41.473846153846154
1101,2018-10-16,108,2952,27.333333333333332
1101,2018-10-28,2,420,210.0
1101,2018-10-30,223,1581,7.089686098654709
1101,2018-11-21,7691,1965,0.2554934338837602
1101,2019-01-15,464,76,0.16379310344827586
1102,2018-10-16,75,1209,16.12
1102,2018-10-21,185,2589,13.994594594594595
1102,2018-10-30,249,1077,4.325301204819277
